iter,f,gnorm,ap_norm,df_abs
205,438.0248618,37.07841305,2.09E-05,0.000891297
206,438.0241584,70.3414085,3.54E-05,0.000703375
207,438.0235281,35.5641969,1.68E-05,0.000630283
208,438.0225388,112.2564399,6.78E-05,0.000989295
209,438.0211779,39.63805406,2.68E-05,0.001360902
210,438.0207383,88.2793598,3.78E-05,0.000439641
211,438.0198366,37.13283259,2.10E-05,0.000901665
212,438.01914,70.81435953,3.54E-05,0.00069661
213,438.0185035,35.59568682,1.69E-05,0.000636535
214,438.0175358,113.1839781,6.79E-05,0.000967674
215,438.0161551,39.74012699,2.70E-05,0.001380705
216,438.0157277,88.98906023,3.79E-05,0.000427423
217,438.0148141,37.19580091,2.12E-05,0.000913536
218,438.0141251,71.34895706,3.55E-05,0.000688996
219,438.0134815,35.63248417,1.70E-05,0.000643669
220,438.0125381,114.2257371,6.80E-05,0.000943336
221,438.011135,39.85603085,2.72E-05,0.001403164
222,438.0107213,89.78343751,3.80E-05,0.00041371
223,438.0097943,37.2675304,2.14E-05,0.000926952
224,438.0091138,71.94577067,3.55E-05,0.000680507
225,438.0084621,35.6747384,1.72E-05,0.00065171
226,438.0075459,115.3824563,6.80E-05,0.000916192
227,438.0061175,39.98610437,2.75E-05,0.00142836
228,438.0057191,90.66322448,3.81E-05,0.000398454
229,438.0047635,183.6121622,0.000106746,0.000955625
230,438.0013832,49.05634222,4.38E-05,0.003380252
231,438.0009809,60.57568726,2.34E-05,0.000402266
232,438.000473,34.80052371,1.44E-05,0.00050791
233,437.9991182,93.94093061,6.64E-05,0.001354855
234,437.9981186,37.66632692,2.24E-05,0.000999524
235,437.9974812,75.01776442,3.59E-05,0.000637418
236,437.9967867,35.91549626,1.79E-05,0.000694491
237,437.9960077,121.1849907,6.85E-05,0.000778994
238,437.9914381,321.8774044,0.000406529,0.004569685
239,437.9300238,311.7556075,0.001831527,0.061414244
240,437.4601808,2072.090646,0.027817733,0.469843015
241,436.7475445,4682.206415,0.088278813,0.712636296
242,428.8701633,3002.389159,0.502587076,7.877381174
243,428.717288,1904.743177,0.066064934,0.15287533
244,428.456567,418.4996647,0.000227063,0.260721007
245,428.4430162,260.8951807,9.98E-05,0.01355079
246,428.4351437,189.2748246,6.22E-05,0.007872481
247,428.4278648,283.0996705,9.03E-05,0.007278927
248,428.4193315,198.2685967,6.75E-05,0.008533269
249,428.412984,308.7356609,9.45E-05,0.006347579
250,428.4036171,209.0179925,7.36E-05,0.009366802
251,428.3984315,338.1131797,9.97E-05,0.005185634
252,428.3880166,221.7409696,8.06E-05,0.010414906
253,428.3812313,174.060421,5.29E-05,0.006785345
254,428.3726222,238.6467069,8.30E-05,0.008609089
255,428.3654245,180.4949934,5.69E-05,0.007197707
256,428.3574354,258.9664553,8.61E-05,0.00798904
257,428.3497005,188.5574267,6.17E-05,0.007734895
258,428.342511,283.2289633,8.99E-05,0.00718954
259,428.3340761,198.5905656,6.75E-05,0.008434883
260,428.3279211,312.0323127,9.47E-05,0.006155039
261,428.3185733,210.9891087,7.44E-05,0.009347737
262,428.3120555,169.4743367,5.03E-05,0.006517853
263,428.3038485,441.4292592,0.000161623,0.008206964
264,428.2889806,268.7036822,0.000105245,0.014867964
265,428.2810003,192.2189156,6.41E-05,0.007980258
266,428.2742985,294.767565,9.17E-05,0.006701792
267,428.2655361,203.1930264,7.03E-05,0.008762375
268,428.2599859,325.6148547,9.69E-05,0.005550273
269,428.2502041,216.6993044,7.76E-05,0.009781715
270,428.243583,171.1881494,5.17E-05,0.006621119
271,428.2349721,231.3953368,8.16E-05,0.008610961
272,428.2279948,176.6200509,5.52E-05,0.006977229
273,428.2199013,248.6641422,8.42E-05,0.008093544
274,428.2124732,183.2410888,5.93E-05,0.007428103
275,428.2050244,268.7855299,8.74E-05,0.007448803
276,428.1970272,191.2400979,6.41E-05,0.007997177
277,428.1903813,292.0438095,9.12E-05,0.006645932
278,428.181668,200.8153413,6.96E-05,0.008713247
279,428.1760207,318.7272967,9.58E-05,0.005647347
280,428.1664092,212.1701292,7.60E-05,0.00961152
281,428.1599496,169.2691688,5.06E-05,0.006459518
282,428.1528221,454.5011311,0.000161428,0.007127577
283,428.1370367,1089.039603,0.000619748,0.015785368
284,428.0502577,275.513632,0.000129824,0.086778949
285,428.0421853,193.8548995,6.57E-05,0.008072477
286,428.0360869,302.6556003,9.24E-05,0.0060984
287,428.0271771,205.4467817,7.22E-05,0.0089098
288,428.0209195,165.8427057,4.90E-05,0.006257551
289,428.0124584,425.7817344,0.00015816,0.008461151
290,427.9984669,260.0188295,0.000101514,0.013991477
291,427.9908645,187.1345352,6.20E-05,0.007602368
292,427.984199,284.2974363,8.92E-05,0.006665508
293,427.9758914,197.2484644,6.78E-05,0.008307564
294,427.9702579,312.9585549,9.41E-05,0.005633544
295,427.9610365,209.6607821,7.46E-05,0.009221418
296,427.9547127,166.9985547,5.00E-05,0.006323836
297,427.9475016,442.255263,0.000159262,0.007211035
298,427.9255264,1000.98166,0.000595865,0.021975194
299,427.8645463,545.9563679,0.000238653,0.060980151
300,427.844711,321.6704828,0.000130166,0.0198353
301,427.8447008,332.4130158,4.28E-06,1.01E-05
302,427.8347362,216.5482226,7.93E-05,0.009964597
303,427.8283271,169.0728476,5.16E-05,0.006409119
304,427.8203005,232.5709127,8.06E-05,0.008026658
305,427.8135086,175.1583521,5.54E-05,0.0067919
306,427.8060499,251.6805185,8.35E-05,0.00745861
307,427.7987645,182.7145078,6.00E-05,0.007285484
308,427.7920309,274.3342786,8.71E-05,0.006733536
309,427.7841088,192.0373007,6.54E-05,0.00792211
310,427.7783038,301.047265,9.16E-05,0.005804971
311,427.76956,203.4656343,7.18E-05,0.008743841
312,427.7634648,163.6671062,4.85E-05,0.006095227
313,427.7554896,422.7902562,0.000156085,0.00797521
314,427.7417435,257.44148,0.000100801,0.01374602
315,427.7343286,184.7321223,6.14E-05,0.007414902
316,427.7279051,281.106022,8.81E-05,0.006423571
317,427.7198088,194.584655,6.70E-05,0.008096291
318,427.714376,308.9494984,9.28E-05,0.005432815
319,427.7054009,206.6277251,7.37E-05,0.008975089
320,427.6992633,164.4465783,4.93E-05,0.00613762
321,427.6922673,435.3390872,0.000156828,0.006995933
322,427.6709183,984.8878317,0.00058636,0.021349065
323,427.6118213,536.571336,0.000234816,0.05909696
324,427.5926162,315.8162206,0.000127929,0.019205071
325,427.5926016,326.3136017,4.21E-06,1.47E-05
326,427.5829692,212.6170503,7.78E-05,0.009632377
327,427.5767665,166.1835607,5.07E-05,0.006202661
328,427.5689553,227.9460295,7.92E-05,0.007811185
329,427.5623929,171.9760736,5.43E-05,0.006562427
330,427.5551131,246.1743808,8.20E-05,0.007279865
331,427.5480889,179.1426847,5.87E-05,0.007024137
332,427.5414838,267.723668,8.54E-05,0.006605087
333,427.533867,187.9553403,6.38E-05,0.007616797
334,427.5281217,293.0673195,8.96E-05,0.005745353
335,427.5197436,198.7248655,6.99E-05,0.008378057
336,427.5138677,160.5245955,4.74E-05,0.005875909
337,427.5057225,409.6136056,0.000153088,0.008145174
338,427.4926929,250.1149456,9.77E-05,0.013029599
339,427.4855911,180.4082122,5.96E-05,0.007101854
340,427.4792182,272.3380083,8.60E-05,0.006372864
341,427.4714946,189.5752089,6.49E-05,0.007723663
342,427.4660212,298.4259631,9.04E-05,0.005473378
343,427.4574995,200.7514583,7.12E-05,0.00852164
344,427.4516072,160.8910341,4.79E-05,0.005892334
345,427.4441537,418.0932705,0.000153438,0.007453466
346,427.4307544,253.801046,9.97E-05,0.013399334
347,427.4235799,181.5859313,6.05E-05,0.007174549
348,427.4174308,276.6392981,8.66E-05,0.006149076
349,427.409607,191.0807086,6.60E-05,0.007823765
350,427.4043946,303.403886,9.11E-05,0.00521238
351,427.3957385,202.6309919,7.23E-05,0.00865616
352,427.3898323,161.2120314,4.83E-05,0.0059062
353,427.3830382,425.9165835,0.000153744,0.006794126
354,427.3614509,956.4830115,0.000572676,0.021587215
355,427.3055977,520.6977565,0.000228043,0.05585319
356,427.2873966,306.4457494,0.000124144,0.018201133
357,427.2873551,326.6131124,8.21E-06,4.15E-05
358,427.2778425,211.2304209,7.79E-05,0.009512622
359,427.2718109,163.9284382,5.04E-05,0.006031573
360,427.2643712,226.3764255,7.82E-05,0.007439772
361,427.2579856,169.6713749,5.40E-05,0.006385582
362,427.2510641,244.2965391,8.09E-05,0.006921499
363,427.2442268,176.7355758,5.82E-05,0.006837293
364,427.23796,265.3824794,8.43E-05,0.006266787
365,427.2305462,185.3742425,6.33E-05,0.007413817
366,427.225109,290.0736898,8.84E-05,0.005437149
367,427.2169589,195.8756465,6.92E-05,0.008150148
368,427.2112832,157.7299057,4.67E-05,0.005675728
369,427.2036126,404.4101512,0.000150423,0.007670584
370,427.1909432,246.2707558,9.64E-05,0.012669434
371,427.1840804,177.2100343,5.87E-05,0.006862795
372,427.1779672,267.6697567,8.45E-05,0.006113147
373,427.1705141,186.0199635,6.38E-05,0.007453125
374,427.1652485,292.6934328,8.87E-05,0.00526555
375,427.1570422,196.7110871,6.98E-05,0.008206339
376,427.1513755,157.6749251,4.69E-05,0.005666653
377,427.1441117,408.4908798,0.000150371,0.007263816
378,427.1312795,247.8986917,9.74E-05,0.012832225
379,427.1243998,177.5492954,5.91E-05,0.006879656
380,427.1184272,269.5454081,8.47E-05,0.005972686
381,427.1109459,186.4981736,6.43E-05,0.00748123
382,427.1058352,294.8269348,8.89E-05,0.005110759
383,427.0975872,197.3405304,7.03E-05,0.00824802
384,427.0919338,157.5490772,4.70E-05,0.005653386
385,427.085029,411.7817864,0.000150251,0.006904758
386,427.0720684,249.1629124,9.82E-05,0.012960599
387,427.0651812,177.7444259,5.94E-05,0.00688721
388,427.0593349,270.9907595,8.48E-05,0.005846266
389,427.0518376,186.7988708,6.46E-05,0.007497322
390,427.0468638,296.454261,8.91E-05,0.004973834
391,427.0385896,197.752901,7.07E-05,0.008274202
392,427.0329539,157.3476405,4.71E-05,0.005635634
393,427.0263578,414.2577692,0.000150058,0.006596172
394,427.0039495,917.6993986,0.000555335,0.022408276
395,426.9523748,499.3729411,0.000218797,0.051574704
396,426.9354647,294.142241,0.00011906,0.016910071
